Exporter Name,transaction_count,years_active,months_active,countries_served,drug_substances_shipped,sku_variants_shipped,total_fob_inr,city,exporter_address,avg_monthly_shipments,reliability_score
WOCKHARDT LIMITED,1712,2,20,36,11,798,7561467350.316875,"MUMBAI, MAHARASHTRA. ","WOCKHARDT TOWERS, BANDRA KURLA COMPLEX, BANDRA (E) ,",85.6,73.4
FRESENIUS KABI ONCOLOGY LIMITED,3690,2,20,46,3,3225,7553165146.317543,NEW DELHI ,"B-310, SOM DATT CHAMBERS, 1, BHIKAJI CAMA PLACE,",184.5,78.9
ADCOCK INGRAM LIMITED,3940,2,20,7,12,2679,7399765410.8,BANGALORE ,"NO.49D, BOMMASANDRA INDUSTRIAL AREA, ANEKAL TQ.",197.0,82.6
SHALINA LABORATORIES PRIVATE LIMITED,10524,2,20,21,34,4082,7327602187.155468,"MUMBAI,MAHARASHTRA ","96,MAKER CHAMBER VI, NARIMAN POINT,",526.2,76.4
GRAVITI PHARMACEUTICALS PRIVATE LIMITED,3547,2,20,2,9,2492,7315365258.54,"PUNJAGUTTA, HYDERABAD, AP.","NO.8-2-248/1/7/64, PLOT NO.64, NAGARJUNA CO-OP HOUSING SOCIETY,N/A",177.35,77.6
TROIKAA PHARMACEUTICALS LIMITED,2684,2,20,80,29,1803,6707290582.509525,"BUNGALOW ROAD, BODAKDEV AHMEDABAD. ","GF- 1 , GROUND FLOOR,COMMERCE HOUSE-I,OPP-RAJVANSH APPTS,OFF.JUDGES",134.2,72.9
VENUS REMEDIES LIMITED,3317,2,20,69,19,2622,6687657746.484921,CHANDIGARH. ,"S.C.O.857, CABIN NO. 10, 2ND FLOOR,NAC, MANIMAJRA,",165.85,77.8
S KANT HEALTHCARE LIMITED,1242,2,20,63,37,727,6074024987.156337,"WORLI,MUMBAI MAHARASHTRA ","A-3,SHIVSAGAR ESTATE(NORTH WING), 3RD FL,DR.ANNIE BESANT ROAD,",62.1,75.6
SCOTT EDIL PHARMACIA LIMITED,4154,2,20,62,154,3677,6057384742.845316,CHANDIGARH. ,"NO.54-55, INDUSTRIAL AREA, PHASE-2,",207.7,79.5
IND SWIFT LIMITED,2565,2,20,53,32,2403,6016071482.672084,CHANDIGARH. ,"781, INDUSTRIAL AREA, PHASE-II,",128.25,82.1
