entity,err_d,err_c,winner
RUXOLITINIB,0.30312949607591616,0.9336106294656109,D
SALBUTAMOL,61.65274263651702,50.003776215797075,C
SALMETEROLFLUTICASONE,1.3785395635681663,2.312248913847574,D
SAMLODIPINE,1.77267304282627,1.692714593992185,C
SAXAGLIPTIN,3.103220620820265,1.004277430597753,C
SECNIDAZOLE,2.373123558013191,1.2981856253939448,C
SECUKINUMAB,0.48173656683188026,0.13486661031219738,C
SELTAVIR,0.4214347670405881,0.6408555226485313,D
SERTACONAZOLE,0.8250121928196315,0.46361109225792907,C
SERTRALINE,8.307902598851399,13.427317526563002,D
SETRON,0.5635279619700553,0.21893545034958528,C
SHATAVARI,8.044977058497786,9.99250104838675,D
SIDENAFIL,1.0700818238195229,2.9912283900714147,D
SILAGRA,10.895472833502595,9.316834757814469,C
SILDENAFIL,214.78215227789133,212.9892637279936,C
SILDINAFIL,1.5214283973072873,1.2888299597699415,C
SILDNAFIL,0.4953320748424943,0.6288043160126584,D
SIMVASTATIN,35.09477241998029,33.77120972356413,C
SITAGLIPTIN,46.67197444131435,44.01827270293501,C
SITAPRIL,0.8403297245715837,2.088112188096825,D
SLIDENAFIL,0.5511665357550027,0.26263817023198255,C
SOFAMYCIN,7.994081105935037,8.0,D
SOFOSBUVIR,5.49717017403497,3.8496795971653412,C
SOFRAMYCIN,15.014401961030783,14.755298890386358,C
SOLONE,0.1919188717292415,0.36354036472991735,D
SOMATOSTATIN,4.954492790046776,4.720647730316275,C
SOMATROPIN,14.101497428781144,14.770031172036362,D
SOSPENISONE,0.7993612529597636,1.1981309474794752,D
SPARCAINE,1.8010899717264564,2.080583279358041,D
SPECTINOMYCIN,6.362966624357082,5.148129327593201,C
SPIRAMYCIN,1.9261288238707603,2.4115465010625328,D
STANAZOLOL,5.4807982422689605,6.384453983556213,D
STANOZOLOL,7.787159244691388,8.602107752628712,D
STANZOLOL,2.5838897306264865,2.3951677912037015,C
STREPTOMYCIN,10.866685231290184,9.532395713121124,C
SUCRAFIL,2.9687990845892482,1.43983320343842,C
SUHAGRA,27.39305532252888,26.010895558364524,C
SULFAMETHOXAZOLE,6.62037705685697,7.753610930624035,D
SULPHAMETHOXAZOLE,2.765419385473386,3.266491676202641,D
SULTAMICILLIN,3.2103864335733814,2.7112172711709395,C
SUNITINIB,3.5544337548554807,2.153846335553638,C
SUPLHAMETHOXAZOLE,1.7299816601092142,1.5506578829168445,C
TABAZITHROMYCIN,2.4043146368181523,2.0945315219583946,C
TABCIPROFLOXACIN,0.5889436631192164,1.1391839678461593,D
TABLETSBISOPROLOL,0.9183710066494184,1.1363472068150304,D
TABSAMOXYCILLIN,0.6333086779327155,0.9255959759666633,D
TABSEMPAGLIFLOZIN,1.0398016244855623,0.745980877485672,C
TABSILDENAFIL,0.9844353660290721,1.4274667843465167,D
TABSSILDENAFIL,0.7964385822951691,0.6914356994218767,C
TABSTENOFOVIR,0.5658050184537686,0.8887000646896005,D
TABTADALAFIL,0.9964685737430252,1.8957657885138712,D
TABVARDENAFIL,0.8466263465262405,1.1861071135634382,D
TADAFIL,2.9651120342329245,2.8056116390805594,C
TADALAFIL,102.25606131348388,109.5842645613211,D
TADARISE,60.28928795524931,57.548051687526254,C
TAROSONE,0.9463368970824626,1.420351654260492,D
TASONE,0.28929031042573206,0.19660260999022428,C
TASTYLIA,34.3144503409097,31.028074944361556,C
TELMESARTAN,0.6358841200344403,1.147923469025479,D
TELMISARTAN,2.33613883457474,2.423592573334588,D
TELSARTAN,8.461571324144646,17.09465213583796,D
TEMAZEPAM,5.035437463407759,4.575791002661043,C
TEMISARTAN,3.541347917287282,3.1960376042071075,C
TENELIGLIPTIN,2.4840702152942065,4.70598242053336,D
TENOFOVIR,28.105532761151608,29.645834003404786,D
TENVIR,11.509441712394507,13.417157921084893,D
TESTOSTERONE,2.763369392990114,10.54808691668785,D
TETRACAINE,0.5188554406884305,1.2063690065747918,D
TETRACYCLINE,3.403668873287799,4.235668160913335,D
THEMICAINE,0.9714092219057298,1.543625778066872,D
THEOPHYLLINE,3.628027007437961,5.151148506831305,D
TIBOLONE,0.0010434452632450686,0.5967757117127876,D
TIGECYCLINE,4.34023809720404,2.7846482996851627,C
TIMOLOL,24.69658492667176,19.502566923531276,C
TINDAZOLE,0.3273810344913338,0.5638324376270443,D
TINIDAZOLE,2.3800138802345785,3.1640369661324925,D
TINOVIR,2.256375627189467,1.8238272361997057,C
TIOTROPIN,16.122396167489413,12.975448820372572,C
TOBRAMYCIN,22.301164915154843,21.950464565796793,C
TOCILIZUMAB,5.36772151846608,4.959561347055746,C
TOFACITINIB,16.205218561321576,13.927084365830495,C
TOLPERISONE,6.875038695113144,6.091908900437176,C
TOLTERODINE,12.640331694568616,12.835901302045784,D
TOPICAINE,1.0610238071803693,1.3069114696725859,D
TRAMADOL,34.346127059911026,32.709602104358396,C
TRAMETINIB,1.468953090167688,0.8836077162464764,C
TRANDOLAPRIL,2.6091939111403617,3.3917520041992963,D
TRASTMAB,0.6167320797871017,0.9309652157326083,D
